name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_73331~TS,true,100.0,5.13,0.48,0.0,0.0,0.0,0.0,5.13,0.48,0.0,0.0,0.0,0.0
load_73371~TS,true,100.0,7.8100000000000005,1.54,0.0,0.0,0.0,0.0,7.8100000000000005,1.54,0.0,0.0,0.0,0.0
load_73372~TS,true,100.0,8.39,0.65,0.0,0.0,0.0,0.0,8.39,0.65,0.0,0.0,0.0,0.0
load_73374~TS,true,100.0,8.03,0.18,0.0,0.0,0.0,0.0,8.03,0.18,0.0,0.0,0.0,0.0
load_73377~MU,true,100.0,12.401,4.134,0.0,0.0,0.0,0.0,12.401,4.134,0.0,0.0,0.0,0.0
load_73378~TS,true,100.0,7.31,0.79,0.0,0.0,0.0,0.0,7.31,0.79,0.0,0.0,0.0,0.0
load_73379~MU,true,100.0,9.301,3.1,0.0,0.0,0.0,0.0,9.301,3.1,0.0,0.0,0.0,0.0
load_73390~TS,true,100.0,7.8100000000000005,2.57,0.0,0.0,0.0,0.0,7.8100000000000005,2.57,0.0,0.0,0.0,0.0
load_73400~TS,true,100.0,21.96,5.95,0.0,0.0,0.0,0.0,21.96,5.95,0.0,0.0,0.0,0.0
load_73402~TS,true,100.0,37.73,8.89,0.0,0.0,0.0,0.0,37.73,8.89,0.0,0.0,0.0,0.0
load_73405~TS,true,100.0,6.16,0.97,0.0,0.0,0.0,0.0,6.16,0.97,0.0,0.0,0.0,0.0
load_73415~TS,true,100.0,10.91,1.58,0.0,0.0,0.0,0.0,10.91,1.58,0.0,0.0,0.0,0.0
load_73416~TS,true,100.0,4.45,1.18,0.0,0.0,0.0,0.0,4.45,1.18,0.0,0.0,0.0,0.0
load_73445~TS,true,100.0,4.17,0.34,0.0,0.0,0.0,0.0,4.17,0.34,0.0,0.0,0.0,0.0
load_73452~TS,true,100.0,5.56,0.9899999999999999,0.0,0.0,0.0,0.0,5.56,0.9899999999999999,0.0,0.0,0.0,0.0
load_73456~TS,true,100.0,7.37,1.69,0.0,0.0,0.0,0.0,7.37,1.69,0.0,0.0,0.0,0.0
load_73458~TS,true,100.0,12.960000000000003,2.78,0.0,0.0,0.0,0.0,12.960000000000003,2.78,0.0,0.0,0.0,0.0
load_73459~TS,true,100.0,6.950000000000001,1.23,0.0,0.0,0.0,0.0,6.950000000000001,1.23,0.0,0.0,0.0,0.0
load_73460~TS,true,100.0,8.3,1.95,0.0,0.0,0.0,0.0,8.3,1.95,0.0,0.0,0.0,0.0
load_73463~TS,true,100.0,14.82,-3.07,0.0,0.0,0.0,0.0,14.82,-3.07,0.0,0.0,0.0,0.0
load_73464~TS,true,100.0,2.1,0.32,0.0,0.0,0.0,0.0,2.1,0.32,0.0,0.0,0.0,0.0
load_73468~TS,true,100.0,6.75,2.22,0.0,0.0,0.0,0.0,6.75,2.22,0.0,0.0,0.0,0.0
load_73469~TS,true,100.0,4.56,1.5,0.0,0.0,0.0,0.0,4.56,1.5,0.0,0.0,0.0,0.0
load_73476~TS,true,100.0,12.79,4.2,0.0,0.0,0.0,0.0,12.79,4.2,0.0,0.0,0.0,0.0
load_73478~TS,true,100.0,5.44,1.79,0.0,0.0,0.0,0.0,5.44,1.79,0.0,0.0,0.0,0.0
load_73483~TS,true,100.0,2.84,-0.5,0.0,0.0,0.0,0.0,2.84,-0.5,0.0,0.0,0.0,0.0
load_73485~TS,true,100.0,7.829999999999999,1.24,0.0,0.0,0.0,0.0,7.829999999999999,1.24,0.0,0.0,0.0,0.0
load_73501~TS,true,100.0,48.26,14.59,0.0,0.0,0.0,0.0,48.26,14.59,0.0,0.0,0.0,0.0
load_73502~TS,true,100.0,54.76,18.0,0.0,0.0,0.0,0.0,54.76,18.0,0.0,0.0,0.0,0.0
load_73553~TS,true,100.0,3.4799999999999995,1.14,0.0,0.0,0.0,0.0,3.4799999999999995,1.14,0.0,0.0,0.0,0.0
load_73554~TS,true,100.0,14.429999999999998,-2.12,0.0,0.0,0.0,0.0,14.429999999999998,-2.12,0.0,0.0,0.0,0.0
load_73555~TS,true,100.0,12.79,4.2,0.0,0.0,0.0,0.0,12.79,4.2,0.0,0.0,0.0,0.0
load_73556~TS,true,100.0,3.5000000000000004,2.01,0.0,0.0,0.0,0.0,3.5000000000000004,2.01,0.0,0.0,0.0,0.0
load_73557~PR,true,100.0,4.583,1.939,0.0,0.0,0.0,0.0,4.583,1.939,0.0,0.0,0.0,0.0
load_73579~PS,true,100.0,0.526,0.175,0.0,0.0,0.0,0.0,0.526,0.175,0.0,0.0,0.0,0.0
load_73597~TS,true,100.0,23.69,6.17,0.0,0.0,0.0,0.0,23.69,6.17,0.0,0.0,0.0,0.0
load_73600~PS,true,100.0,31.482,10.494,0.0,0.0,0.0,0.0,31.482,10.494,0.0,0.0,0.0,0.0
load_73616~TS,true,100.0,1.97,-0.1,0.0,0.0,0.0,0.0,1.97,-0.1,0.0,0.0,0.0,0.0
load_73650~TS,true,100.0,1.04,-0.17,0.0,0.0,0.0,0.0,1.04,-0.17,0.0,0.0,0.0,0.0
load_73651~TS,true,100.0,6.16,0.8500000000000001,0.0,0.0,0.0,0.0,6.16,0.8500000000000001,0.0,0.0,0.0,0.0
load_78065~PR,true,100.0,11.7,5.0,0.0,0.0,0.0,0.0,11.7,5.0,0.0,0.0,0.0,0.0
load_78071~P1,true,100.0,11.779,3.926,0.0,0.0,0.0,0.0,11.779,3.926,0.0,0.0,0.0,0.0
load_78071~TS,true,100.0,11.39,0.64,0.0,0.0,0.0,0.0,11.39,0.64,0.0,0.0,0.0,0.0
load_78072~P1,true,100.0,11.043,3.681,0.0,0.0,0.0,0.0,11.043,3.681,0.0,0.0,0.0,0.0
load_78076~PR,true,100.0,43.9,18.7,0.0,0.0,0.0,0.0,43.9,18.7,0.0,0.0,0.0,0.0
load_78077~PR,true,100.0,50.1,21.3,0.0,0.0,0.0,0.0,50.1,21.3,0.0,0.0,0.0,0.0
load_78081~PR,true,100.0,25.2,10.8,0.0,0.0,0.0,0.0,25.2,10.8,0.0,0.0,0.0,0.0
